author,total_messages,total_words,avg_messages_per_day,avg_words_per_day
Lionheart,87,881,0.23770491803278687,2.407103825136612
Deleted User,538,3013,1.469945355191257,8.23224043715847
Eternal Governor Raffaella carrà,188,1123,0.5136612021857924,3.068306010928962
Corey,1208,6291,3.300546448087432,17.188524590163933
Miles Molhoj (R-FT),393,4319,1.0737704918032787,11.800546448087431
Senile. derek #NotANonce,150,1334,0.4098360655737705,3.6448087431693987
Theresa May (R-MA),56,184,0.15300546448087432,0.5027322404371585
Tempestas (D-PC-2),17,298,0.04644808743169399,0.8142076502732241
Randy,33,180,0.09016393442622951,0.4918032786885246
Watluhum Ze’hat’a M’ro’orunin,923,4886,2.521857923497268,13.349726775956285
awsomeman,14,100,0.03825136612021858,0.273224043715847
Mr. Jones,1216,8635,3.3224043715846996,23.592896174863387
Depths of Hell _3 (Iron),39,288,0.10655737704918032,0.7868852459016393
Mr. Deb,206,1159,0.5628415300546448,3.1666666666666665
Konnor Harris,1,10,0.00273224043715847,0.0273224043715847
Rep.Alex Bielanski (D-PC-CA),52,292,0.14207650273224043,0.7978142076502732
RoboKeel,1,2,0.00273224043715847,0.00546448087431694
Alex,18,103,0.04918032786885246,0.2814207650273224
Moran (D-NC-JK),1,2,0.00273224043715847,0.00546448087431694
Governor Athena,666,3265,1.819672131147541,8.920765027322405
Sandy Jerrdusky,686,4014,1.8743169398907105,10.967213114754099
Former Senator Kate Kasparian,832,5100,2.273224043715847,13.934426229508198
Kosmonaut,14,129,0.03825136612021858,0.3524590163934426
John Hoffman (I-JK),493,2195,1.3469945355191257,5.997267759562842
floridianflower,29,129,0.07923497267759563,0.3524590163934426
Former Pres TC,35,331,0.09562841530054644,0.9043715846994536
AMajL. Martin Hanson (R),87,402,0.23770491803278687,1.098360655737705
Diana's List,25,116,0.06830601092896176,0.31693989071038253
aaron,7,31,0.01912568306010929,0.08469945355191257
Sen. _Ku Klux Kayla_,93,441,0.2540983606557377,1.2049180327868851
justanotherpolitico,2,38,0.00546448087431694,0.10382513661202186
Space_Cowboy,2,39,0.00546448087431694,0.10655737704918032
