author,word,frequency
Lionheart,legislative,1
Lionheart,record,3
Lionheart,i,46
Lionheart,am,4
Lionheart,here,3
Lionheart,resign,2
Lionheart,duration,1
Lionheart,been,4
Lionheart,server,1
Lionheart,has,4
Lionheart,literal,1
Lionheart,always,2
Lionheart,bugging,1
Lionheart,general,1
Lionheart,distraction,1
Lionheart,from,9
Lionheart,my,19
Lionheart,own,2
Lionheart,mental,4
Lionheart,speaker,15
Lionheart,fellow,2
Lionheart,distinguished,1
Lionheart,americans,1
Lionheart,stand,3
Lionheart,before,2
Lionheart,you,13
Lionheart,today,3
Lionheart,address,2
Lionheart,congress,2
Lionheart,issue,1
Lionheart,plagued,1
Lionheart,american,2
Lionheart,democracy,3
Lionheart,far,1
Lionheart,too,1
Lionheart,briefly,1
Lionheart,discuss,1
Lionheart,future,1
Lionheart,racial,1
Lionheart,distribution,1
Lionheart,equity,1
Lionheart,we,4
Lionheart,must,5
Lionheart,accept,1
Lionheart,fact,2
Lionheart,negro,2
Lionheart,white,4
Lionheart,man,4
Lionheart,unsuitable,1
Lionheart,each,1
Lionheart,however,1
Lionheart,recognize,1
Lionheart,notion,1
Lionheart,superiority,1
Lionheart,shall,2
Lionheart,introduce,2
Lionheart,something,2
Lionheart,based,2
Lionheart,off,1
Lionheart,moral,1
Lionheart,principles,2
Lionheart,intended,1
Lionheart,framework,2
Lionheart,our,6
Lionheart,matter,1
Lionheart,solemn,1
Lionheart,plea,1
Lionheart,restoration,1
Lionheart,cherished,1
Lionheart,legal,2
Lionheart,very,1
Lionheart,fabric,1
Lionheart,judicial,1
Lionheart,beseech,2
Lionheart,esteemed,1
Lionheart,justices,1
Lionheart,supreme,1
Lionheart,court,1
Lionheart,reconsider,1
Lionheart,misguided,1
Lionheart,rulings,1
Lionheart,brown,2
Lionheart,board,1
Lionheart,both,1
Lionheart,original,2
Lionheart,its,4
Lionheart,griggs,1
Lionheart,duke,1
Lionheart,power,3
Lionheart,born,1
Lionheart,haste,1
Lionheart,have,5
Lionheart,sown,1
Lionheart,discord,1
Lionheart,where,2
Lionheart,once,3
Lionheart,era,1
Lionheart,let,5
Lionheart,us,3
Lionheart,forsake,1
Lionheart,wisdom,3
Lionheart,look,1
Lionheart,venerable,1
Lionheart,case,1
Lionheart,plessy,2
Lionheart,beacon,1
Lionheart,clarity,1
Lionheart,turbulent,1
Lionheart,rooted,1
Lionheart,delicate,1
Lionheart,balance,1
Lionheart,rights,3
Lionheart,speak,1
Lionheart,heart,1
Lionheart,every,1
Lionheart,regardless,1
Lionheart,color,1
Lionheart,path,1
Lionheart,forward,1
Lionheart,lies,1
Lionheart,rash,1
Lionheart,departures,1
Lionheart,steadfast,1
Lionheart,commitment,1
Lionheart,guided,1
Lionheart,heed,1
Lionheart,call,3
Lionheart,restore,1
Lionheart,reaffirm,1
Lionheart,timeless,1
Lionheart,doing,1
Lionheart,unite,1
Lionheart,nation,1
Lionheart,more,2
Lionheart,common,2
Lionheart,purpose,4
Lionheart,shared,2
Lionheart,current,1
Lionheart,society,2
Lionheart,can,4
Lionheart,become,1
Lionheart,seperate,1
Lionheart,now,1
Lionheart,draft,2
Lionheart,legislation,1
Lionheart,overrule,1
Lionheart,civil,1
Lionheart,act,2
Lionheart,voting,1
Lionheart,1965,1
Lionheart,return,1
Lionheart,time,3
Lionheart,party,1
Lionheart,finish,1
Lionheart,alabama,1
Lionheart,mississippi,1
Lionheart,do,3
Lionheart,solemnly,1
Lionheart,swear,1
Lionheart,support,1
Lionheart,defend,1
Lionheart,constitution,2
Lionheart,united,3
Lionheart,states,3
Lionheart,against,1
Lionheart,all,3
Lionheart,foreign,1
Lionheart,bear,1
Lionheart,true,1
Lionheart,faith,1
Lionheart,allegiance,1
Lionheart,take,1
Lionheart,obligation,1
Lionheart,without,1
Lionheart,any,1
Lionheart,reservation,1
Lionheart,well,2
Lionheart,faithfully,1
Lionheart,discharge,1
Lionheart,duties,1
Lionheart,office,2
Lionheart,which,2
Lionheart,about,3
Lionheart,so,1
Lionheart,help,1
Lionheart,me,7
Lionheart,point,6
Lionheart,order,7
Lionheart,posting,4
Lionheart,motion,4
Lionheart,brought,1
Lionheart,forth,2
Lionheart,former,2
Lionheart,gentlewoman,3
Lionheart,state,6
Lionheart,olympia,3
Lionheart,violates,3
Lionheart,house,17
Lionheart,precedent,2
Lionheart,providing,1
Lionheart,reprimanding,1
Lionheart,addition,1
Lionheart,pursuant,1
Lionheart,title,2
Lionheart,iv,2
Lionheart,rule,2
