word,frequency
i,6801
speaker,2466
gentleman,2008
house,1871
from,1807
shall,1449
order,1206
point,1133
motion,1105
you,1054
my,938
chair,771
has,706
any,701
do,695
we,677
without,665
all,648
have,640
recognized,630
preside,601
well,579
vote,577
so,574
voted,552
representative,550
rules,544
second,536
gentlewoman,536
which,533
about,527
state,521
may,520
yield,515
unanimous,511
me,504
move,495
what,489
purpose,489
would,488
consent,486
does,469
take,467
states,463
out,446
united,438
committee,432
am,425
thank,414
his,410
leader,409
rule,403
like,394
ask,392
support,390
against,387
majority,385
time,380
honorable,379
olympia,373
floor,365
seek,352
object,351
mr,351
called,348
office,345
been,333
discharge,331
member,327
our,326
can,326
constitution,317
bill,316
madam,316
foreign,313
he,311
duties,309
thinks,304
true,300
mental,300
obligation,298
defend,295
presiding,295
faithfully,293
reservation,293
recognition,291
faith,290
bear,290
allegiance,290
just,289
lincoln,282
debate,280
should,279
solemnly,278
up,275
hpo,270
help,266
legislation,255
when,241
ruling,237
objection,227
clerk,227
one,226
swear,223
suspend,223
make,223
inquiry,222
who,221
made,218
officer,218
pacifica,217
representatives,214
speaking,212
pro,202
being,202
rise,192
proceed,188
members,188
minority,186
put,186
people,185
parliamentary,184
your,184
question,181
following,180
tempore,173
also,173
chamber,169
why,167
until,166
more,166
before,165
nominate,165
other,164
now,157
come,155
gavel,155
because,155
its,154
appeal,153
resolution,151
how,150
request,148
must,147
congress,147
need,146
back,145
wonders,144
only,143
noted,142
after,141
general,139
get,136
record,136
jackson,135
frontier,135
did,134
here,133
sullivan,132
under,131
hearing,131
motions,131
over,131
act,130
right,130
go,128
president,127
nomination,127
1,125
them,125
call,124
still,123
her,122
cannot,120
hersey,120
hours,116
first,114
voting,112
pursuant,111
say,111
could,111
both,110
please,109
seeing,109
votes,108
while,107
ethics,106
upon,105
speak,105
some,104
current,104
than,103
even,103
new,102
24,102
received,100
records,98
period,96
taken,96
athena,96
amendment,96
judiciary,95
minutes,95
think,95
yes,95
very,93
already,92
again,91
want,90
wish,90
myself,90
where,90
see,89
let,88
takes,88
reserve,88
given,88
were,88
withdraw,87
too,87
yields,87
walks,87
10,87
having,87
table,87
previous,86
us,86
further,86
believe,86
compelled,85
loz,85
bills,84
kate,84
present,83
today,83
last,82
2,82
change,81
agreed,81
agenda,81
going,80
give,80
oversight,80
election,80
another,79
him,79
had,79
allow,79
jones,79
consider,78
pass,78
commonwealth,78
section,78
through,77
since,77
within,77
precedent,76
those,75
3,75
4,74
referred,74
due,74
madame,74
she,74
image,72
american,72
know,71
affirm,71
ranking,70
colleagues,70
down,70
two,70
consideration,70
hereby,70
remove,70
considered,69
many,69
nominations,69
hour,69
passed,69
good,69
points,69
most,69
next,69
business,68
legislative,68
refer,67
molhoj,67
committees,66
done,65
elected,65
use,64
kasparian,64
day,63
end,63
uc,63
said,62
long,62
objections,62
stop,62
read,61
off,61
stand,61
same,61
congressional,61
once,60
kearsley,60
open,60
senate,59
god,59
place,59
unless,59
much,58
per,58
therefore,57
james,57
making,57
work,57
reason,57
prior,56
oh,56
session,55
spt,55
someone,55
matter,55
sitting,54
adjourned,54
cloture,54
words,53
15,53
reminded,53
consult,53
note,53
7,53
ballot,53
fellow,52
stands,52
never,52
corey,52
currently,52
fails,52
power,51
clark,51
accept,51
ruled,51
subject,50
every,50
assignments,50
speech,50
insert,50
something,50
name,50
bring,50
doing,50
authority,50
instead,49
way,49
pm,49
5,49
otherwise,49
former,49
reserves,49
notify,49
whether,48
sits,48
own,48
allowed,48
removed,48
john,48
nation,47
amend,47
agree,46
quantum,46
yielded,46
lockhart,45
position,45
regarding,45
correct,45
though,45
posting,45
hope,44
hold,44
yet,44
each,44
sighs,44
2024,44
recognize,43
provide,43
ensure,43
withdrawn,43
standing,42
national,42
fact,42
matters,42
great,41
im,41
rights,41
actions,41
everyone,41
looks,41
person,40
got,40
hoffman,40
better,40
cast,40
leave,40
urge,40
adjourn,40
empy,40
minute,40
always,40
caucus,40
whole,39
laid,39
asked,39
recess,39
wait,39
nothing,39
form,39
arms,39
women,38
close,38
official,38
able,38
simply,38
remainder,38
deputy,38
means,38
federal,38
inform,38
heard,38
colleague,38
clear,38
government,37
hell,37
retract,37
ducky,37
necessary,37
provided,37
officers,37
violation,37
seconds,37
set,37
nor,37
via,36
senator,36
clearly,36
actually,36
wanted,36
shit,36
past,36
recommit,36
look,36
statement,35
cornell,35
procedural,35
extend,35
mean,35
best,35
pluribus,35
dilatory,35
raise,35
thus,35
septimus,35
clause,35
asking,35
body,35
start,35
sorry,35
needs,35
user,34
sure,34
choice,34
sunak,34
direct,34
ever,34
warned,34
role,34
rather,34
dont,34
referring,34
parliamentarian,34
anything,33
serve,33
vacate,33
kyo,33
strike,33
makes,33
full,33
est,32
116th,32
find,32
america,32
personal,32
used,32
talking,32
between,32
action,32
opinion,32
ok,32
mike,32
keep,32
amended,32
longer,32
gonna,32
literally,32
pickle,31
hand,31
esteemed,31
immediately,31
sufficient,31
20,31
getting,31
case,31
stares,31
acting,31
party,31
says,31
issue,31
things,31
country,31
man,31
recent,31
accordance,31
purposes,30
speakership,30
process,30
provisions,30
goes,30
clarify,30
hear,30
thing,30
piece,30
fuck,29
show,29
proper,29
removal,29
either,29
number,29
important,29
fucking,29
trying,29
opposition,29
rishi,29
job,29
gentlemen,29
suspended,29
address,28
appointed,28
orders,28
claps,28
days,28
water,28
questions,28
procedure,28
brought,28
begin,28
real,28
jerrdusky,28
proceedings,28
decision,27
system,27
tellers,27
ordered,27
sees,27
taking,27
gentlelady,27
during,27
docket,27
walter,27
diana,27
executive,27
sergeant,27
journal,27
alexander,27
favor,27
times,27
requests,27
left,27
privileged,27
military,27
permitted,27
iv,27
saying,26
really,26
abortion,26
life,26
seaver,26
granted,26
require,26
enough,26
reconsider,26
notified,26
add,26
wishes,26
continue,26
language,26
discretion,25
occurs,25
chaplain,25
ambassador,25
respect,25
issues,25
root,25
encourage,25
adjournment,25
crack,25
few,25
duly,25
u,25
seat,25
approval,25
protect,25
que,25
closed,25
away,24
far,24
doc,24
using,24
morales,24
remind,24
objected,24
rulings,24
message,24
anyone,24
introduced,24
leaves,24
stated,24
calling,24
watches,24
different,24
expired,24
inserting,24
appoint,24
law,24
small,24
reading,24
result,24
daniel,24
home,24
district,24
results,23
comes,23
amendments,23
martin,23
whispers,23
onto,23
third,23
leadership,23
procedures,23
certain,23
reference,23
passage,23
around,23
tomorrow,23
powers,23
pending,23
passes,23
list,23
bro,23
least,23
earlier,23
directly,23
senior,23
reclaim,23
conduct,23
beer,23
btw,23
mc,23
enters,23
turn,23
moved,23
