,words
2023-12-31,102
2024-01-01,0
2024-01-02,150
2024-01-03,14
2024-01-04,138
2024-01-05,366
2024-01-06,224
2024-01-07,170
2024-01-08,615
2024-01-09,41
2024-01-10,155
2024-01-11,394
2024-01-12,1552
2024-01-13,1878
2024-01-14,753
2024-01-15,581
2024-01-16,639
2024-01-17,467
2024-01-18,666
2024-01-19,231
2024-01-20,729
2024-01-21,957
2024-01-22,523
2024-01-23,1112
2024-01-24,231
2024-01-25,163
2024-01-26,216
2024-01-27,219
2024-01-28,93
2024-01-29,349
2024-01-30,156
2024-01-31,251
2024-02-01,59
2024-02-02,21
2024-02-03,171
2024-02-04,92
2024-02-05,21
2024-02-06,705
2024-02-07,32
2024-02-08,0
2024-02-09,197
2024-02-10,762
2024-02-11,234
2024-02-12,1350
2024-02-13,73
2024-02-14,1218
2024-02-15,391
2024-02-16,858
2024-02-17,76
2024-02-18,245
2024-02-19,55
2024-02-20,366
2024-02-21,146
2024-02-22,888
2024-02-23,764
2024-02-24,23
2024-02-25,214
2024-02-26,123
2024-02-27,168
2024-02-28,706
2024-02-29,21
2024-03-01,19
2024-03-02,0
2024-03-03,0
2024-03-04,42
2024-03-05,82
2024-03-06,15
2024-03-07,0
2024-03-08,116
2024-03-09,24
2024-03-10,24
2024-03-11,4
2024-03-12,404
2024-03-13,985
2024-03-14,163
2024-03-15,14
2024-03-16,45
2024-03-17,0
2024-03-18,127
2024-03-19,36
2024-03-20,1126
2024-03-21,115
2024-03-22,10
2024-03-23,0
2024-03-24,157
2024-03-25,212
2024-03-26,10
2024-03-27,6
2024-03-28,67
2024-03-29,17
2024-03-30,37
2024-03-31,0
2024-04-01,209
2024-04-02,0
2024-04-03,24
2024-04-04,101
2024-04-05,6
2024-04-06,0
2024-04-07,0
2024-04-08,2
2024-04-09,0
2024-04-10,0
2024-04-11,2
2024-04-12,105
2024-04-13,222
2024-04-14,144
2024-04-15,776
2024-04-16,132
2024-04-17,113
2024-04-18,372
2024-04-19,6
2024-04-20,0
2024-04-21,96
2024-04-22,5
2024-04-23,430
2024-04-24,1124
2024-04-25,0
2024-04-26,1256
2024-04-27,1100
2024-04-28,405
2024-04-29,207
2024-04-30,53
2024-05-01,791
2024-05-02,288
2024-05-03,177
2024-05-04,516
2024-05-05,43
2024-05-06,464
2024-05-07,245
2024-05-08,169
2024-05-09,307
2024-05-10,4
2024-05-11,237
2024-05-12,1579
2024-05-13,176
2024-05-14,1813
2024-05-15,2153
2024-05-16,300
2024-05-17,234
2024-05-18,22
2024-05-19,415
2024-05-20,31
2024-05-21,385
2024-05-22,29
2024-05-23,3
2024-05-24,0
2024-05-25,67
2024-05-26,391
2024-05-27,73
2024-05-28,321
2024-05-29,260
2024-05-30,95
2024-05-31,136
2024-06-01,105
2024-06-02,33
2024-06-03,136
2024-06-04,459
2024-06-05,2
2024-06-06,5
2024-06-07,41
2024-06-08,43
2024-06-09,350
2024-06-10,1491
2024-06-11,14
2024-06-12,612
2024-06-13,41
2024-06-14,1278
2024-06-15,235
2024-06-16,2442
2024-06-17,628
2024-06-18,288
2024-06-19,87
2024-06-20,353
2024-06-21,96
2024-06-22,31
2024-06-23,17
2024-06-24,374
2024-06-25,0
2024-06-26,132
2024-06-27,1
2024-06-28,31
2024-06-29,0
2024-06-30,0
2024-07-01,27
2024-07-02,110
2024-07-03,23
2024-07-04,159
2024-07-05,12
2024-07-06,205
2024-07-07,198
2024-07-08,81
2024-07-09,50
2024-07-10,86
2024-07-11,49
2024-07-12,478
2024-07-13,179
2024-07-14,1264
2024-07-15,102
2024-07-16,711
2024-07-17,35
2024-07-18,150
2024-07-19,37
2024-07-20,220
2024-07-21,0
2024-07-22,171
2024-07-23,204
2024-07-24,294
2024-07-25,35
2024-07-26,5
2024-07-27,0
2024-07-28,56
2024-07-29,28
