word,frequency
i,2459
senator,1304
president,844
from,768
senate,662
shall,587
my,389
you,388
majority,362
has,362
we,356
have,348
leader,336
vote,298
do,294
consent,289
unanimous,289
present,288
thank,282
any,280
madam,257
ask,245
all,236
would,234
committee,230
which,229
been,221
states,216
our,216
united,215
debate,209
without,209
mr,202
point,202
support,199
secretary,195
lincoln,195
nomination,191
chair,188
am,180
about,178
pro,177
minority,170
yield,170
order,170
like,161
well,160
motion,156
so,155
quorum,153
floor,150
move,149
can,148
caucus,147
take,147
olympia,147
time,144
jackson,144
bill,143
against,142
may,141
preside,140
tempore,139
state,134
should,132
up,128
rise,128
me,123
foreign,122
his,120
put,119
he,117
office,116
presiding,116
constitution,113
after,113
general,113
your,109
frontier,109
purpose,108
out,108
who,105
true,105
call,105
pacifica,104
more,103
rules,103
ranking,101
senators,100
also,100
what,99
faith,98
reservation,98
officer,97
duties,96
mental,96
allegiance,95
one,94
discharge,94
bear,94
defend,94
when,94
faithfully,93
swear,93
legislation,93
referred,93
obligation,93
does,93
junior,92
proceed,91
refer,90
believe,90
thinks,90
just,89
solemnly,87
question,86
being,85
24,84
right,84
vice,83
made,83
following,81
member,81
its,80
pluribus,79
before,78
having,78
back,77
2,76
than,73
make,73
objection,73
both,73
members,73
people,72
hearing,72
help,72
request,70
welfare,70
other,69
bills,68
some,68
hours,68
congress,68
need,68
now,68
senior,68
only,67
must,67
spo,66
while,66
gentleman,64
under,64
nominee,64
her,64
recognized,63
new,62
1,61
act,61
resolution,61
affirm,60
american,59
voting,59
rule,59
please,58
hersey,57
over,57
house,57
judiciary,57
us,57
relations,56
through,56
because,56
progressive,55
federal,55
amendment,54
noted,54
agreed,54
yields,53
speak,53
go,53
had,52
seeing,51
were,51
get,51
chamber,51
open,51
next,50
why,49
how,49
congratulations,48
note,48
where,48
even,48
votes,48
long,48
business,48
colleagues,47
here,47
suspend,46
second,46
hour,46
hand,46
twos,46
first,46
two,46
those,46
section,45
body,45
john,45
bring,45
nominations,44
executive,44
work,44
until,44
within,44
wish,44
session,43
still,43
gavel,43
object,43
today,43
could,43
colleague,42
repeat,42
ross,42
very,42
commence,41
court,41
conservative,40
cannot,40
simply,40
composition,39
