,words
2023-12-31,15
2024-01-01,18
2024-01-02,15
2024-01-03,121
2024-01-04,0
2024-01-05,381
2024-01-06,79
2024-01-07,71
2024-01-08,25
2024-01-09,39
2024-01-10,1
2024-01-11,44
2024-01-12,350
2024-01-13,92
2024-01-14,515
2024-01-15,175
2024-01-16,31
2024-01-17,122
2024-01-18,88
2024-01-19,102
2024-01-20,310
2024-01-21,161
2024-01-22,1245
2024-01-23,152
2024-01-24,114
2024-01-25,28
2024-01-26,61
2024-01-27,120
2024-01-28,2
2024-01-29,69
2024-01-30,10
2024-01-31,166
2024-02-01,22
2024-02-02,206
2024-02-03,1443
2024-02-04,709
2024-02-05,105
2024-02-06,11
2024-02-07,53
2024-02-08,0
2024-02-09,0
2024-02-10,33
2024-02-11,19
2024-02-12,485
2024-02-13,95
2024-02-14,48
2024-02-15,233
2024-02-16,18
2024-02-17,18
2024-02-18,123
2024-02-19,34
2024-02-20,0
2024-02-21,10
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,8
2024-02-26,0
2024-02-27,50
2024-02-28,27
2024-02-29,48
2024-03-01,8
2024-03-02,1
2024-03-03,0
2024-03-04,0
2024-03-05,126
2024-03-06,65
2024-03-07,0
2024-03-08,64
2024-03-09,78
2024-03-10,18
2024-03-11,17
2024-03-12,223
2024-03-13,84
2024-03-14,66
2024-03-15,32
2024-03-16,177
2024-03-17,317
2024-03-18,97
2024-03-19,96
2024-03-20,0
2024-03-21,22
2024-03-22,155
2024-03-23,26
2024-03-24,28
2024-03-25,36
2024-03-26,33
2024-03-27,14
2024-03-28,0
2024-03-29,1
2024-03-30,0
2024-03-31,0
2024-04-01,0
2024-04-02,0
2024-04-03,0
2024-04-04,11
2024-04-05,0
2024-04-06,0
2024-04-07,5
2024-04-08,14
2024-04-09,8
2024-04-10,78
2024-04-11,37
2024-04-12,216
2024-04-13,12
2024-04-14,0
2024-04-15,0
2024-04-16,1
2024-04-17,2
2024-04-18,0
2024-04-19,36
2024-04-20,3
2024-04-21,14
2024-04-22,171
2024-04-23,10
2024-04-24,52
2024-04-25,21
2024-04-26,0
2024-04-27,0
2024-04-28,10
2024-04-29,4
